date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2000057,2000-02-26,MOD11A2,LST_Day_1km,286.6000,287.8800,23260.6387,1.2800,287.1684,0.0606,0.2462,81,81,100.00
A2000065,2000-03-05,MOD11A2,LST_Day_1km,293.1400,297.3800,23836.3242,4.2400,294.2756,1.2773,1.1302,81,81,100.00
A2000073,2000-03-13,MOD11A2,LST_Day_1km,286.8400,289.3200,23352.6797,2.4800,288.3047,0.2459,0.4959,81,81,100.00
A2000081,2000-03-21,MOD11A2,LST_Day_1km,291.7600,294.5200,23760.4180,2.7600,293.3385,0.3926,0.6266,81,81,100.00
A2000089,2000-03-29,MOD11A2,LST_Day_1km,294.6800,297.5800,23999.6602,2.9000,296.2921,0.3584,0.5987,81,81,100.00
A2000097,2000-04-06,MOD11A2,LST_Day_1km,293.2000,296.0000,23864.4004,2.8000,294.6222,0.3140,0.5603,81,81,100.00
A2000105,2000-04-14,MOD11A2,LST_Day_1km,293.2600,296.3600,23893.8789,3.1000,294.9861,1.0666,1.0328,81,81,100.00
A2000113,2000-04-22,MOD11A2,LST_Day_1km,296.6400,306.5600,24526.6172,9.9200,302.7977,7.7782,2.7889,81,81,100.00
A2000121,2000-04-30,MOD11A2,LST_Day_1km,305.2600,310.8400,24936.4629,5.5800,307.8576,1.6048,1.2668,81,81,100.00
A2000129,2000-05-08,MOD11A2,LST_Day_1km,299.5400,303.6600,22926.4434,4.1200,301.6637,0.7490,0.8654,81,76,93.83
A2000137,2000-05-16,MOD11A2,LST_Day_1km,300.0200,306.4800,24566.4766,6.4600,303.2898,2.8077,1.6756,81,81,100.00
A2000145,2000-05-24,MOD11A2,LST_Day_1km,296.7600,311.7000,23732.4199,14.9400,304.2618,18.8220,4.3384,81,78,96.30
A2000153,2000-06-01,MOD11A2,LST_Day_1km,302.6600,305.7600,24638.6230,3.1000,304.1805,0.6447,0.8029,81,81,100.00
A2000161,2000-06-09,MOD11A2,LST_Day_1km,298.6200,311.3600,24303.6250,12.7400,303.7953,7.4582,2.7310,81,80,98.77
A2000169,2000-06-17,MOD11A2,LST_Day_1km,302.5800,306.1400,24674.4648,3.5600,304.6230,0.7247,0.8513,81,81,100.00
A2000177,2000-06-25,MOD11A2,LST_Day_1km,297.6800,299.8200,24213.8945,2.1400,298.9370,0.2084,0.4565,81,81,100.00
A2000185,2000-07-03,MOD11A2,LST_Day_1km,301.0800,304.2800,24503.9141,3.2000,302.5175,0.5395,0.7345,81,81,100.00
A2000193,2000-07-11,MOD11A2,LST_Day_1km,299.7200,303.7600,24495.9980,4.0400,302.4197,0.9847,0.9923,81,81,100.00
A2000201,2000-07-19,MOD11A2,LST_Day_1km,295.7200,299.1800,24120.2969,3.4600,297.7814,0.5315,0.7291,81,81,100.00
A2000209,2000-07-27,MOD11A2,LST_Day_1km,299.3800,302.4600,24388.6211,3.0800,301.0941,0.4769,0.6906,81,81,100.00
A2000217,2000-08-04,MOD11A2,LST_Day_1km,296.5000,296.9800,12467.9590,0.4800,296.8562,0.0184,0.1355,81,42,51.85
A2000225,2000-08-12,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2000233,2000-08-20,MOD11A2,LST_Day_1km,300.5200,303.0200,15068.9785,2.5000,301.3796,0.2657,0.5154,81,50,61.73
A2000241,2000-08-28,MOD11A2,LST_Day_1km,302.2400,309.0800,21969.0645,6.8400,305.1259,2.2135,1.4878,81,72,88.89
A2000249,2000-09-05,MOD11A2,LST_Day_1km,300.0400,301.1800,24341.5410,1.1400,300.5128,0.0709,0.2663,81,81,100.00
A2000257,2000-09-13,MOD11A2,LST_Day_1km,299.9000,304.4200,24486.3008,4.5200,302.3000,0.9925,0.9963,81,81,100.00
A2000265,2000-09-21,MOD11A2,LST_Day_1km,295.5200,298.2400,24049.2051,2.7200,296.9038,0.3196,0.5653,81,81,100.00
A2000273,2000-09-29,MOD11A2,LST_Day_1km,295.7200,300.4800,24206.7988,4.7600,298.8494,0.6670,0.8167,81,81,100.00
A2000281,2000-10-07,MOD11A2,LST_Day_1km,292.0200,295.1200,23749.7578,3.1000,293.2069,0.3189,0.5647,81,81,100.00
A2000289,2000-10-15,MOD11A2,LST_Day_1km,298.3000,302.2200,24283.8984,3.9200,299.8012,0.5424,0.7365,81,81,100.00
A2000297,2000-10-23,MOD11A2,LST_Day_1km,294.3800,296.5800,7087.6211,2.2000,295.3175,0.2095,0.4577,81,24,29.63
A2000305,2000-10-31,MOD11A2,LST_Day_1km,286.0600,290.8200,23415.7598,4.7600,289.0835,2.5090,1.5840,81,81,100.00
A2000313,2000-11-08,MOD11A2,LST_Day_1km,276.5800,282.5000,22656.9941,5.9200,279.7160,3.7645,1.9402,81,81,100.00
A2000321,2000-11-16,MOD11A2,LST_Day_1km,276.4000,279.9000,22563.6621,3.5000,278.5637,0.4529,0.6729,81,81,100.00
A2000329,2000-11-24,MOD11A2,LST_Day_1km,281.3000,282.6200,22842.0586,1.3200,282.0007,0.1079,0.3285,81,81,100.00
A2000337,2000-12-02,MOD11A2,LST_Day_1km,268.4200,270.3800,21842.2617,1.9600,269.6576,0.1804,0.4248,81,81,100.00
A2000345,2000-12-10,MOD11A2,LST_Day_1km,253.5200,256.2200,9684.5195,2.7000,254.8558,0.4152,0.6443,81,38,46.91
A2000353,2000-12-18,MOD11A2,LST_Day_1km,252.6400,256.3800,20667.7578,3.7400,255.1575,2.3572,1.5353,81,81,100.00
A2000361,2000-12-26,MOD11A2,LST_Day_1km,258.5600,260.4000,21017.4570,1.8400,259.4748,0.1632,0.4040,81,81,100.00
A2001001,2001-01-01,MOD11A2,LST_Day_1km,271.1800,271.8600,21988.4961,0.6800,271.4629,0.0217,0.1473,81,81,100.00
A2001009,2001-01-09,MOD11A2,LST_Day_1km,260.9200,269.6400,21297.1211,8.7200,262.9274,5.3065,2.3036,81,81,100.00
A2001017,2001-01-17,MOD11A2,LST_Day_1km,267.2800,268.7600,21743.9199,1.4800,268.4435,0.0661,0.2571,81,81,100.00
A2001025,2001-01-25,MOD11A2,LST_Day_1km,262.4800,265.0800,19514.0820,2.6000,263.7038,0.5181,0.7198,81,74,91.36
A2001033,2001-02-02,MOD11A2,LST_Day_1km,263.1800,271.7600,21930.1152,8.5800,270.7422,5.1396,2.2671,81,81,100.00
A2001041,2001-02-10,MOD11A2,LST_Day_1km,259.9600,266.4400,21101.7168,6.4800,260.5150,1.3183,1.1482,81,81,100.00
A2001049,2001-02-18,MOD11A2,LST_Day_1km,268.3400,272.3200,21886.4375,3.9800,270.2029,1.4318,1.1966,81,81,100.00
A2001057,2001-02-26,MOD11A2,LST_Day_1km,270.2800,271.7200,21946.4766,1.4400,270.9442,0.1077,0.3282,81,81,100.00
A2001065,2001-03-06,MOD11A2,LST_Day_1km,271.8800,274.9000,22197.3203,3.0200,274.0410,0.3135,0.5599,81,81,100.00
A2001073,2001-03-14,MOD11A2,LST_Day_1km,274.2000,275.6800,22253.5195,1.4800,274.7348,0.0840,0.2899,81,81,100.00
A2001081,2001-03-22,MOD11A2,LST_Day_1km,280.5800,286.2600,12769.5254,5.6800,283.7672,2.4537,1.5664,81,45,55.56
A2001089,2001-03-30,MOD11A2,LST_Day_1km,286.1000,290.8000,23408.5820,4.7000,288.9948,2.4351,1.5605,81,81,100.00
A2001097,2001-04-07,MOD11A2,LST_Day_1km,292.9400,298.3200,23913.9023,5.3800,295.2334,1.6944,1.3017,81,81,100.00
A2001105,2001-04-15,MOD11A2,LST_Day_1km,293.7200,299.5400,24078.9570,5.8200,297.2711,2.6368,1.6238,81,81,100.00
A2001113,2001-04-23,MOD11A2,LST_Day_1km,302.7000,306.5000,24652.4238,3.8000,304.3509,0.7872,0.8873,81,81,100.00
A2001121,2001-05-01,MOD11A2,LST_Day_1km,291.2600,300.7400,24166.3574,9.4800,298.3501,4.7351,2.1760,81,81,100.00
A2001129,2001-05-09,MOD11A2,LST_Day_1km,300.4000,305.1000,24454.4824,4.7000,301.9072,0.9361,0.9675,81,81,100.00
A2001137,2001-05-17,MOD11A2,LST_Day_1km,296.1000,305.6400,24495.9629,9.5400,302.4193,4.9402,2.2227,81,81,100.00
A2001145,2001-05-25,MOD11A2,LST_Day_1km,292.3400,296.6800,23934.4590,4.3400,295.4872,0.8578,0.9262,81,81,100.00
A2001153,2001-06-02,MOD11A2,LST_Day_1km,295.1000,305.6400,16874.3574,10.5400,301.3278,7.7176,2.7781,81,56,69.14
A2001161,2001-06-10,MOD11A2,LST_Day_1km,301.9400,308.3000,24654.4766,6.3600,304.3763,2.7316,1.6528,81,81,100.00
A2001177,2001-06-26,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2001185,2001-07-04,MOD11A2,LST_Day_1km,302.0400,307.4000,24732.5957,5.3600,305.3407,0.8921,0.9445,81,81,100.00
A2001193,2001-07-12,MOD11A2,LST_Day_1km,304.0200,309.0200,24733.2598,5.0000,305.3489,0.9214,0.9599,81,81,100.00
A2001201,2001-07-20,MOD11A2,LST_Day_1km,300.1200,304.1400,24440.0762,4.0200,301.7293,0.9501,0.9747,81,81,100.00
A2001209,2001-07-28,MOD11A2,LST_Day_1km,301.5000,303.1000,24487.0957,1.6000,302.3098,0.1971,0.4440,81,81,100.00
A2001217,2001-08-05,MOD11A2,LST_Day_1km,301.1000,302.8600,24454.8750,1.7600,301.9120,0.1882,0.4338,81,81,100.00
A2001225,2001-08-13,MOD11A2,LST_Day_1km,296.5400,301.3000,24144.3379,4.7600,298.0782,0.8298,0.9109,81,81,100.00
A2001233,2001-08-21,MOD11A2,LST_Day_1km,292.9600,300.2800,24154.9805,7.3200,298.2096,2.8088,1.6760,81,81,100.00
A2001241,2001-08-29,MOD11A2,LST_Day_1km,297.8000,301.4400,24286.5195,3.6400,299.8336,0.7047,0.8395,81,81,100.00
A2001249,2001-09-06,MOD11A2,LST_Day_1km,297.0600,298.0600,24096.4434,1.0000,297.4870,0.0559,0.2365,81,81,100.00
A2001257,2001-09-14,MOD11A2,LST_Day_1km,288.9400,294.3800,9061.7607,5.4400,292.3148,2.3488,1.5326,81,31,38.27
A2001265,2001-09-22,MOD11A2,LST_Day_1km,293.9800,296.1000,23880.5645,2.1200,294.8218,0.2007,0.4480,81,81,100.00
A2001273,2001-09-30,MOD11A2,LST_Day_1km,296.2800,298.5200,24085.8203,2.2400,297.3558,0.2080,0.4560,81,81,100.00
A2001281,2001-10-08,MOD11A2,LST_Day_1km,284.6800,288.9400,17239.5430,4.2600,287.3257,1.2517,1.1188,81,60,74.07
A2001289,2001-10-16,MOD11A2,LST_Day_1km,287.2600,291.1000,23441.3398,3.8400,289.3993,0.6475,0.8047,81,81,100.00
A2001297,2001-10-24,MOD11A2,LST_Day_1km,284.2600,289.3000,23175.0410,5.0400,286.1116,3.3220,1.8226,81,81,100.00
A2001305,2001-11-01,MOD11A2,LST_Day_1km,294.7800,296.3000,23945.7617,1.5200,295.6267,0.1019,0.3193,81,81,100.00
A2001313,2001-11-09,MOD11A2,LST_Day_1km,289.5800,292.3200,23588.5410,2.7400,291.2166,0.3399,0.5830,81,81,100.00
A2001321,2001-11-17,MOD11A2,LST_Day_1km,287.0000,291.0000,23418.3164,4.0000,289.1150,0.9428,0.9710,81,81,100.00
A2001329,2001-11-25,MOD11A2,LST_Day_1km,280.0800,282.5800,22824.4629,2.5000,281.7835,0.2808,0.5299,81,81,100.00
A2001337,2001-12-03,MOD11A2,LST_Day_1km,280.3200,282.4200,22757.0176,2.1000,280.9508,0.4451,0.6671,81,81,100.00
A2001345,2001-12-11,MOD11A2,LST_Day_1km,276.9800,279.2200,22544.3613,2.2400,278.3254,0.1406,0.3750,81,81,100.00
A2001353,2001-12-19,MOD11A2,LST_Day_1km,275.0400,278.2400,22369.4180,3.2000,276.1656,0.9085,0.9531,81,81,100.00
A2001361,2001-12-27,MOD11A2,LST_Day_1km,268.7600,269.5600,21804.7637,0.8000,269.1946,0.0281,0.1676,81,81,100.00
A2002001,2002-01-01,MOD11A2,LST_Day_1km,275.1000,278.5400,22449.9824,3.4400,277.1603,0.3811,0.6173,81,81,100.00
A2002009,2002-01-09,MOD11A2,LST_Day_1km,279.6800,282.2400,22683.6992,2.5600,280.0457,0.0842,0.2902,81,81,100.00
A2002017,2002-01-17,MOD11A2,LST_Day_1km,275.2200,277.7600,22374.0527,2.5400,276.2229,0.2808,0.5299,81,81,100.00
A2002025,2002-01-25,MOD11A2,LST_Day_1km,284.5400,287.7600,23243.4785,3.2200,286.9565,0.4400,0.6633,81,81,100.00
A2002033,2002-02-02,MOD11A2,LST_Day_1km,268.5800,271.0000,21866.1992,2.4200,269.9531,0.1026,0.3204,81,81,100.00
A2002041,2002-02-10,MOD11A2,LST_Day_1km,280.5800,281.8000,22781.8613,1.2200,281.2575,0.1159,0.3405,81,81,100.00
A2002049,2002-02-18,MOD11A2,LST_Day_1km,277.6000,287.3200,22080.1270,9.7200,283.0786,6.7733,2.6025,81,78,96.30
A2002057,2002-02-26,MOD11A2,LST_Day_1km,276.0400,282.7800,22742.6953,6.7400,280.7740,1.4140,1.1891,81,81,100.00
A2002065,2002-03-06,MOD11A2,LST_Day_1km,275.0800,280.4800,22444.3262,5.4000,277.0905,3.5575,1.8861,81,81,100.00
A2002073,2002-03-14,MOD11A2,LST_Day_1km,284.5600,291.2600,23310.2773,6.7000,287.7812,2.3772,1.5418,81,81,100.00
A2002081,2002-03-22,MOD11A2,LST_Day_1km,291.9400,293.9200,23441.4961,1.9800,293.0187,0.1889,0.4347,81,80,98.77
A2002089,2002-03-30,MOD11A2,LST_Day_1km,288.5200,293.9000,23669.4961,5.3800,292.2160,1.6278,1.2759,81,81,100.00
A2002097,2002-04-07,MOD11A2,LST_Day_1km,290.0000,293.9800,23635.2578,3.9800,291.7933,0.6720,0.8198,81,81,100.00
A2002105,2002-04-15,MOD11A2,LST_Day_1km,295.8800,310.7800,24692.2207,14.9000,304.8422,19.7168,4.4404,81,81,100.00
A2002113,2002-04-23,MOD11A2,LST_Day_1km,290.5400,293.3000,23695.5020,2.7600,292.5370,0.3132,0.5597,81,81,100.00
A2002121,2002-05-01,MOD11A2,LST_Day_1km,297.3800,300.6000,24244.1445,3.2200,299.3104,0.5240,0.7239,81,81,100.00
A2002129,2002-05-09,MOD11A2,LST_Day_1km,293.9600,299.1400,23989.5020,5.1800,296.1667,2.2595,1.5032,81,81,100.00
A2002137,2002-05-17,MOD11A2,LST_Day_1km,293.6200,300.7800,24136.4160,7.1600,297.9804,2.5047,1.5826,81,81,100.00
A2002145,2002-05-25,MOD11A2,LST_Day_1km,301.9800,309.4000,24721.4199,7.4200,305.2027,3.8665,1.9663,81,81,100.00
A2002153,2002-06-02,MOD11A2,LST_Day_1km,302.9000,309.0000,24812.6934,6.1000,306.3296,2.3655,1.5380,81,81,100.00
A2002161,2002-06-10,MOD11A2,LST_Day_1km,297.2000,304.1800,24405.0352,6.9800,301.2967,1.5107,1.2291,81,81,100.00
A2002169,2002-06-18,MOD11A2,LST_Day_1km,304.2400,308.6800,24824.1797,4.4400,306.4713,0.8827,0.9395,81,81,100.00
A2002177,2002-06-26,MOD11A2,LST_Day_1km,302.6000,305.1400,24578.8027,2.5400,303.4420,0.4177,0.6463,81,81,100.00
A2002185,2002-07-04,MOD11A2,LST_Day_1km,302.1600,306.3800,24681.4648,4.2200,304.7094,0.7116,0.8436,81,81,100.00
A2002193,2002-07-12,MOD11A2,LST_Day_1km,299.7000,302.0400,24370.9980,2.3400,300.8765,0.2655,0.5152,81,81,100.00
A2002201,2002-07-20,MOD11A2,LST_Day_1km,298.3600,303.0600,24324.2949,4.7000,300.2999,0.8893,0.9430,81,81,100.00
A2002209,2002-07-28,MOD11A2,LST_Day_1km,300.8400,302.4400,24418.0195,1.6000,301.4570,0.1252,0.3538,81,81,100.00
A2002217,2002-08-05,MOD11A2,LST_Day_1km,298.0800,300.3800,24228.8594,2.3000,299.1217,0.2506,0.5006,81,81,100.00
A2002225,2002-08-13,MOD11A2,LST_Day_1km,297.3000,298.4600,24128.9434,1.1600,297.8882,0.0498,0.2232,81,81,100.00
A2002233,2002-08-21,MOD11A2,LST_Day_1km,297.2800,301.6600,21578.5195,4.3800,299.7017,0.8742,0.9350,81,72,88.89
A2002241,2002-08-29,MOD11A2,LST_Day_1km,300.6800,301.9600,24397.4004,1.2800,301.2025,0.0863,0.2938,81,81,100.00
A2002249,2002-09-06,MOD11A2,LST_Day_1km,303.2000,304.9800,24637.5000,1.7800,304.1667,0.1013,0.3183,81,81,100.00
A2002257,2002-09-14,MOD11A2,LST_Day_1km,297.9000,300.3000,24225.9473,2.4000,299.0858,0.2076,0.4557,81,81,100.00
A2002265,2002-09-22,MOD11A2,LST_Day_1km,294.7200,297.7000,24001.5391,2.9800,296.3153,0.3019,0.5495,81,81,100.00
A2002273,2002-09-30,MOD11A2,LST_Day_1km,293.6800,295.9000,23884.4805,2.2200,294.8701,0.3585,0.5987,81,81,100.00
A2002281,2002-10-08,MOD11A2,LST_Day_1km,291.4600,295.5600,23768.3184,4.1000,293.4360,1.5696,1.2528,81,81,100.00
A2002289,2002-10-16,MOD11A2,LST_Day_1km,284.5600,288.3000,23179.8613,3.7400,286.1711,0.8681,0.9317,81,81,100.00
A2002297,2002-10-24,MOD11A2,LST_Day_1km,280.9200,282.8200,4227.4199,1.9000,281.8280,0.4094,0.6398,81,15,18.52
A2002305,2002-11-01,MOD11A2,LST_Day_1km,281.0400,285.1000,22865.3398,4.0600,282.2881,0.5996,0.7743,81,81,100.00
A2002313,2002-11-09,MOD11A2,LST_Day_1km,278.7800,286.8400,22966.5762,8.0600,283.5380,2.4268,1.5578,81,81,100.00
A2002321,2002-11-17,MOD11A2,LST_Day_1km,280.6000,283.0800,22848.0762,2.4800,282.0750,0.3750,0.6124,81,81,100.00
A2002329,2002-11-25,MOD11A2,LST_Day_1km,275.7000,276.8600,22384.6406,1.1600,276.3536,0.0666,0.2580,81,81,100.00
A2002337,2002-12-03,MOD11A2,LST_Day_1km,276.3400,278.8000,22481.8965,2.4600,277.5543,0.6952,0.8338,81,81,100.00
A2002345,2002-12-11,MOD11A2,LST_Day_1km,280.2800,283.5400,22795.0234,3.2600,281.4200,0.6662,0.8162,81,81,100.00
A2002353,2002-12-19,MOD11A2,LST_Day_1km,273.0600,275.0000,22213.3418,1.9400,274.2388,0.2717,0.5213,81,81,100.00
A2002361,2002-12-27,MOD11A2,LST_Day_1km,274.6000,277.3800,22366.1836,2.7800,276.1257,0.5719,0.7563,81,81,100.00
A2003001,2003-01-01,MOD11A2,LST_Day_1km,277.1000,279.3200,22547.7168,2.2200,278.3669,0.4201,0.6482,81,81,100.00
A2003009,2003-01-09,MOD11A2,LST_Day_1km,272.3200,273.8600,22123.8633,1.5400,273.1341,0.0777,0.2788,81,81,100.00
A2003017,2003-01-17,MOD11A2,LST_Day_1km,264.5000,265.3000,15628.0576,0.8000,264.8823,0.0295,0.1719,81,59,72.84
A2003025,2003-01-25,MOD11A2,LST_Day_1km,259.0000,274.0800,4306.7603,15.0800,269.1725,45.0334,6.7107,81,16,19.75
A2003033,2003-02-02,MOD11A2,LST_Day_1km,262.8400,263.3600,4210.3799,0.5200,263.1487,0.0312,0.1766,81,16,19.75
A2003041,2003-02-10,MOD11A2,LST_Day_1km,271.2200,281.8400,22612.0234,10.6200,279.1608,7.8248,2.7973,81,81,100.00
A2003049,2003-02-18,MOD11A2,LST_Day_1km,273.0000,275.2000,22237.0195,2.2000,274.5311,0.3213,0.5669,81,81,100.00
A2003057,2003-02-26,MOD11A2,LST_Day_1km,268.4600,274.2800,19727.9980,5.8200,270.2466,1.3068,1.1432,81,73,90.12
A2003065,2003-03-06,MOD11A2,LST_Day_1km,266.8800,271.5400,21722.7812,4.6600,268.1825,1.5486,1.2444,81,81,100.00
A2003073,2003-03-14,MOD11A2,LST_Day_1km,288.6800,294.6000,23703.6016,5.9200,292.6371,3.2575,1.8049,81,81,100.00
A2003081,2003-03-22,MOD11A2,LST_Day_1km,290.3800,295.8400,23733.9395,5.4600,293.0116,2.0786,1.4417,81,81,100.00
A2003089,2003-03-30,MOD11A2,LST_Day_1km,302.7000,305.0000,24627.4473,2.3000,304.0426,0.2883,0.5369,81,81,100.00
A2003097,2003-04-07,MOD11A2,LST_Day_1km,298.7200,301.1600,24312.6348,2.4400,300.1560,0.2297,0.4793,81,81,100.00
A2003105,2003-04-15,MOD11A2,LST_Day_1km,298.9800,302.9400,24363.5391,3.9600,300.7844,1.0723,1.0355,81,81,100.00
A2003113,2003-04-23,MOD11A2,LST_Day_1km,298.8400,301.8400,24341.1992,3.0000,300.5086,0.5907,0.7685,81,81,100.00
A2003121,2003-05-01,MOD11A2,LST_Day_1km,293.3600,298.7800,24000.2832,5.4200,296.2998,2.8960,1.7018,81,81,100.00
A2003129,2003-05-09,MOD11A2,LST_Day_1km,295.4400,297.1800,24022.9180,1.7400,296.5792,0.1147,0.3386,81,81,100.00
A2003137,2003-05-17,MOD11A2,LST_Day_1km,297.0400,302.0000,24275.9785,4.9600,299.7034,1.3603,1.1663,81,81,100.00
A2003145,2003-05-25,MOD11A2,LST_Day_1km,302.9200,309.3000,24798.8809,6.3800,306.1590,1.4412,1.2005,81,81,100.00
A2003153,2003-06-02,MOD11A2,LST_Day_1km,298.0200,303.8000,24436.8574,5.7800,301.6896,1.3362,1.1559,81,81,100.00
A2003161,2003-06-10,MOD11A2,LST_Day_1km,304.4000,312.9600,24908.4980,8.5600,307.5123,4.1913,2.0473,81,81,100.00
A2003169,2003-06-18,MOD11A2,LST_Day_1km,301.9800,306.9200,24664.4023,4.9400,304.4988,1.4411,1.2004,81,81,100.00
A2003177,2003-06-26,MOD11A2,LST_Day_1km,300.4200,303.7200,24476.5840,3.3000,302.1801,0.7869,0.8871,81,81,100.00
A2003185,2003-07-04,MOD11A2,LST_Day_1km,299.5200,302.3600,24406.7207,2.8400,301.3175,0.3455,0.5878,81,81,100.00
A2003193,2003-07-12,MOD11A2,LST_Day_1km,299.5400,302.1200,24382.3613,2.5800,301.0168,0.4156,0.6447,81,81,100.00
A2003201,2003-07-20,MOD11A2,LST_Day_1km,298.7200,301.9200,24286.4414,3.2000,299.8326,0.2313,0.4809,81,81,100.00
A2003209,2003-07-28,MOD11A2,LST_Day_1km,298.2800,300.1200,24249.5391,1.8400,299.3770,0.1362,0.3691,81,81,100.00
A2003217,2003-08-05,MOD11A2,LST_Day_1km,298.5800,302.1200,24276.8984,3.5400,299.7148,0.3978,0.6307,81,81,100.00
