date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2014033,2014-02-02,MOD11A2,LST_Day_1km,257.0600,262.9600,20242.9473,5.9000,259.5250,4.7262,2.1740,81,78,96.30
A2014041,2014-02-10,MOD11A2,LST_Day_1km,261.5400,265.9600,21410.7188,4.4200,264.3299,1.4649,1.2103,81,81,100.00
A2014049,2014-02-18,MOD11A2,LST_Day_1km,273.7000,276.9800,21722.6211,3.2800,274.9699,0.6953,0.8339,81,79,97.53
A2014057,2014-02-26,MOD11A2,LST_Day_1km,262.2200,264.2200,19206.9004,2.0000,263.1082,0.2317,0.4813,81,73,90.12
A2014065,2014-03-06,MOD11A2,LST_Day_1km,287.6800,289.3400,23378.3008,1.6600,288.6210,0.1689,0.4110,81,81,100.00
A2014073,2014-03-14,MOD11A2,LST_Day_1km,281.7400,284.9200,22989.0195,3.1800,283.8151,0.4101,0.6404,81,81,100.00
A2014081,2014-03-22,MOD11A2,LST_Day_1km,281.9000,287.8200,23097.9414,5.9200,285.1598,2.8055,1.6750,81,81,100.00
A2014089,2014-03-30,MOD11A2,LST_Day_1km,286.0000,290.5800,23312.0000,4.5800,287.8025,0.6308,0.7943,81,81,100.00
A2014097,2014-04-07,MOD11A2,LST_Day_1km,297.9000,299.4400,24202.9395,1.5400,298.8017,0.1589,0.3986,81,81,100.00
A2014105,2014-04-15,MOD11A2,LST_Day_1km,299.1400,303.4600,24351.9434,4.3200,300.6413,1.0424,1.0210,81,81,100.00
A2014113,2014-04-23,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2014121,2014-05-01,MOD11A2,LST_Day_1km,293.0800,300.4600,24141.0977,7.3800,298.0382,3.9522,1.9880,81,81,100.00
A2014129,2014-05-09,MOD11A2,LST_Day_1km,289.6400,306.9800,24493.9004,17.3400,302.3938,9.1823,3.0302,81,81,100.00
A2014137,2014-05-17,MOD11A2,LST_Day_1km,298.8400,302.4400,24389.0977,3.6000,301.1000,0.4763,0.6901,81,81,100.00
A2014145,2014-05-25,MOD11A2,LST_Day_1km,301.5400,312.3400,13545.9590,10.8000,307.8627,6.9555,2.6373,81,44,54.32
A2014153,2014-06-02,MOD11A2,LST_Day_1km,299.2600,305.6000,16028.7607,6.3400,302.4294,2.1110,1.4529,81,53,65.43
A2014161,2014-06-10,MOD11A2,LST_Day_1km,300.0800,307.1400,24590.1953,7.0600,303.5827,2.8275,1.6815,81,81,100.00
A2014169,2014-06-18,MOD11A2,LST_Day_1km,299.8400,303.5400,24488.7793,3.7000,302.3306,0.6625,0.8139,81,81,100.00
A2014177,2014-06-26,MOD11A2,LST_Day_1km,294.0400,297.2400,23037.5859,3.2000,295.3537,0.6949,0.8336,81,78,96.30
A2014185,2014-07-04,MOD11A2,LST_Day_1km,298.8200,300.4000,24278.1973,1.5800,299.7308,0.1111,0.3334,81,81,100.00
A2014193,2014-07-12,MOD11A2,LST_Day_1km,295.5600,300.4400,24160.1777,4.8800,298.2738,0.9386,0.9688,81,81,100.00
A2014201,2014-07-20,MOD11A2,LST_Day_1km,298.6200,300.9000,24290.6641,2.2800,299.8847,0.2879,0.5366,81,81,100.00
A2014209,2014-07-28,MOD11A2,LST_Day_1km,298.5600,300.6200,24275.3008,2.0600,299.6951,0.2004,0.4476,81,81,100.00
A2014217,2014-08-05,MOD11A2,LST_Day_1km,296.5600,299.9600,22954.7402,3.4000,298.1135,0.5638,0.7509,81,77,95.06
A2014225,2014-08-13,MOD11A2,LST_Day_1km,299.1600,300.9000,24299.0605,1.7400,299.9884,0.1778,0.4217,81,81,100.00
A2014233,2014-08-21,MOD11A2,LST_Day_1km,299.7600,304.2400,24509.5352,4.4800,302.5869,1.8100,1.3454,81,81,100.00
A2014241,2014-08-29,MOD11A2,LST_Day_1km,298.0400,302.1000,24314.0039,4.0600,300.1729,0.7270,0.8526,81,81,100.00
A2014249,2014-09-06,MOD11A2,LST_Day_1km,293.1000,296.9400,23903.6016,3.8400,295.1062,1.5179,1.2320,81,81,100.00
A2014257,2014-09-14,MOD11A2,LST_Day_1km,294.6400,295.5600,23908.7832,0.9200,295.1702,0.0501,0.2237,81,81,100.00
A2014265,2014-09-22,MOD11A2,LST_Day_1km,295.9800,300.3200,24165.8750,4.3400,298.3441,0.6375,0.7984,81,81,100.00
A2014273,2014-09-30,MOD11A2,LST_Day_1km,289.4800,292.7200,23559.0215,3.2400,290.8521,0.6074,0.7793,81,81,100.00
A2014281,2014-10-08,MOD11A2,LST_Day_1km,291.7000,293.5000,23699.9023,1.8000,292.5914,0.1677,0.4096,81,81,100.00
A2014289,2014-10-16,MOD11A2,LST_Day_1km,292.2000,294.6200,23779.9785,2.4200,293.5800,0.4113,0.6413,81,81,100.00
A2014297,2014-10-24,MOD11A2,LST_Day_1km,288.7800,295.5400,23626.2754,6.7600,291.6824,5.7391,2.3956,81,81,100.00
A2014305,2014-11-01,MOD11A2,LST_Day_1km,281.7200,283.7800,22950.4004,2.0600,283.3383,0.2076,0.4557,81,81,100.00
A2014313,2014-11-09,MOD11A2,LST_Day_1km,262.8400,287.8200,22103.1973,24.9800,272.8790,28.7348,5.3605,81,81,100.00
A2014321,2014-11-17,MOD11A2,LST_Day_1km,264.1800,275.4600,4076.1396,11.2800,271.7426,21.4497,4.6314,81,15,18.52
A2014329,2014-11-25,MOD11A2,LST_Day_1km,259.0000,275.0400,21944.0996,16.0400,270.9148,5.9710,2.4436,81,81,100.00
A2014337,2014-12-03,MOD11A2,LST_Day_1km,270.6200,277.9400,16752.4766,7.3200,274.6308,3.8903,1.9724,81,61,75.31
A2014345,2014-12-11,MOD11A2,LST_Day_1km,266.5200,270.5600,21514.7559,4.0400,268.9344,1.6070,1.2677,81,80,98.77
A2014353,2014-12-19,MOD11A2,LST_Day_1km,275.7000,279.1600,22505.9648,3.4600,277.8514,0.8876,0.9421,81,81,100.00
A2014361,2014-12-27,MOD11A2,LST_Day_1km,268.1200,274.7000,21768.1387,6.5800,268.7425,0.7768,0.8814,81,81,100.00
A2015001,2015-01-01,MOD11A2,LST_Day_1km,268.8400,270.9200,21877.2383,2.0800,270.0894,0.2329,0.4826,81,81,100.00
A2015009,2015-01-09,MOD11A2,LST_Day_1km,262.9800,268.4000,21551.7227,5.4200,266.0706,1.3604,1.1664,81,81,100.00
A2015017,2015-01-17,MOD11A2,LST_Day_1km,275.7000,281.0000,22548.4004,5.3000,278.3753,1.7148,1.3095,81,81,100.00
A2015025,2015-01-25,MOD11A2,LST_Day_1km,277.4400,279.4400,22498.1562,2.0000,277.7550,0.0727,0.2696,81,81,100.00
A2015033,2015-02-02,MOD11A2,LST_Day_1km,265.2200,273.1800,21921.1445,7.9600,270.6314,3.6000,1.8974,81,81,100.00
A2015041,2015-02-10,MOD11A2,LST_Day_1km,270.0400,271.5200,10564.5400,1.4800,270.8857,0.1238,0.3519,81,39,48.15
A2015049,2015-02-18,MOD11A2,LST_Day_1km,270.9600,271.9600,4342.0596,1.0000,271.3787,0.1502,0.3876,81,16,19.75
A2015057,2015-02-26,MOD11A2,LST_Day_1km,263.5000,268.7400,21167.7773,5.2400,264.5972,1.3745,1.1724,81,80,98.77
A2015065,2015-03-06,MOD11A2,LST_Day_1km,287.1400,289.8200,23346.6797,2.6800,288.2306,0.3322,0.5763,81,81,100.00
A2015073,2015-03-14,MOD11A2,LST_Day_1km,288.6400,292.8600,23543.6406,4.2200,290.6622,1.3086,1.1440,81,81,100.00
A2015081,2015-03-22,MOD11A2,LST_Day_1km,287.6800,290.1200,23377.9258,2.4400,288.6164,0.2536,0.5036,81,81,100.00
A2015089,2015-03-30,MOD11A2,LST_Day_1km,296.5000,299.3600,24101.5020,2.8600,297.5494,0.3185,0.5643,81,81,100.00
A2015097,2015-04-07,MOD11A2,LST_Day_1km,286.2800,294.6200,23759.7422,8.3400,293.3301,1.6563,1.2870,81,81,100.00
A2015105,2015-04-15,MOD11A2,LST_Day_1km,289.1400,302.3800,23754.3203,13.2400,293.2632,5.4088,2.3257,81,81,100.00
A2015113,2015-04-23,MOD11A2,LST_Day_1km,297.8000,301.3200,24278.9648,3.5200,299.7403,0.5894,0.7677,81,81,100.00
A2015121,2015-05-01,MOD11A2,LST_Day_1km,301.2800,302.6800,2717.1199,1.4000,301.9022,0.4839,0.6957,81,9,11.11
A2015129,2015-05-09,MOD11A2,LST_Day_1km,294.8200,300.0200,24088.7969,5.2000,297.3925,1.7470,1.3217,81,81,100.00
A2015137,2015-05-17,MOD11A2,LST_Day_1km,293.7800,299.7400,24000.6211,5.9600,296.3040,1.3984,1.1825,81,81,100.00
A2015145,2015-05-25,MOD11A2,LST_Day_1km,299.7200,303.1400,24435.4238,3.4200,301.6719,0.6965,0.8345,81,81,100.00
A2015153,2015-06-02,MOD11A2,LST_Day_1km,303.2400,307.0600,24752.6016,3.8200,305.5877,0.7847,0.8859,81,81,100.00
A2015161,2015-06-10,MOD11A2,LST_Day_1km,302.0000,305.4200,24627.8184,3.4200,304.0471,0.8675,0.9314,81,81,100.00
A2015169,2015-06-18,MOD11A2,LST_Day_1km,297.9800,303.7400,24457.2812,5.7600,301.9417,1.7304,1.3155,81,81,100.00
A2015177,2015-06-26,MOD11A2,LST_Day_1km,297.5000,299.4600,24150.2598,1.9600,298.1514,0.2003,0.4475,81,81,100.00
A2015185,2015-07-04,MOD11A2,LST_Day_1km,295.6800,298.9400,24085.5000,3.2600,297.3518,0.6562,0.8101,81,81,100.00
A2015193,2015-07-12,MOD11A2,LST_Day_1km,302.9200,304.1600,24578.6348,1.2400,303.4399,0.0988,0.3143,81,81,100.00
A2015201,2015-07-20,MOD11A2,LST_Day_1km,298.1000,300.8000,24236.4375,2.7000,299.2153,0.4986,0.7061,81,81,100.00
A2015209,2015-07-28,MOD11A2,LST_Day_1km,298.0200,300.9600,24286.5586,2.9400,299.8340,0.4244,0.6514,81,81,100.00
A2015217,2015-08-05,MOD11A2,LST_Day_1km,298.3600,300.3000,24255.9648,1.9400,299.4564,0.2279,0.4774,81,81,100.00
A2015225,2015-08-13,MOD11A2,LST_Day_1km,297.4800,301.0800,24286.2441,3.6000,299.8302,0.7275,0.8529,81,81,100.00
A2015233,2015-08-21,MOD11A2,LST_Day_1km,295.9000,297.2400,24015.3145,1.3400,296.4854,0.0729,0.2701,81,81,100.00
A2015241,2015-08-29,MOD11A2,LST_Day_1km,299.7200,301.7200,24379.1523,2.0000,300.9772,0.1577,0.3971,81,81,100.00
A2015249,2015-09-06,MOD11A2,LST_Day_1km,298.0800,301.2000,24269.7188,3.1200,299.6262,0.4508,0.6714,81,81,100.00
A2015257,2015-09-14,MOD11A2,LST_Day_1km,297.5000,300.0200,24180.0625,2.5200,298.5193,0.2894,0.5380,81,81,100.00
A2015265,2015-09-22,MOD11A2,LST_Day_1km,300.2200,302.7400,24411.7793,2.5200,301.3800,0.3787,0.6154,81,81,100.00
A2015273,2015-09-30,MOD11A2,LST_Day_1km,292.4800,296.1200,23822.7441,3.6400,294.1079,0.4892,0.6994,81,81,100.00
A2015281,2015-10-08,MOD11A2,LST_Day_1km,293.1200,297.2400,23891.6973,4.1200,294.9592,0.6852,0.8278,81,81,100.00
A2015289,2015-10-16,MOD11A2,LST_Day_1km,289.1600,290.8000,23483.5996,1.6400,289.9210,0.1508,0.3883,81,81,100.00
A2015297,2015-10-24,MOD11A2,LST_Day_1km,286.2400,294.3800,23323.0371,8.1400,291.5380,4.9768,2.2309,81,80,98.77
A2015305,2015-11-01,MOD11A2,LST_Day_1km,287.9000,291.3600,23518.9941,3.4600,290.3579,0.2566,0.5065,81,81,100.00
A2015313,2015-11-09,MOD11A2,LST_Day_1km,283.7800,286.4800,23143.8613,2.7000,285.7267,0.2341,0.4838,81,81,100.00
A2015321,2015-11-17,MOD11A2,LST_Day_1km,272.9800,277.0400,22306.8965,4.0600,275.3938,0.8057,0.8976,81,81,100.00
A2015329,2015-11-25,MOD11A2,LST_Day_1km,270.1400,270.1400,270.1400,0.0000,270.1400,0.0000,0.0000,81,1,1.23
A2015337,2015-12-03,MOD11A2,LST_Day_1km,279.0800,280.9800,22684.3008,1.9000,280.0531,0.1770,0.4207,81,81,100.00
A2015345,2015-12-11,MOD11A2,LST_Day_1km,271.5200,273.2600,16649.7480,1.7400,272.9467,0.0833,0.2885,81,61,75.31
A2015353,2015-12-19,MOD11A2,LST_Day_1km,273.2000,274.6000,22186.0430,1.4000,273.9018,0.0755,0.2747,81,81,100.00
A2015361,2015-12-27,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2016001,2016-01-01,MOD11A2,LST_Day_1km,268.1000,269.5400,21781.3379,1.4400,268.9054,0.0876,0.2959,81,81,100.00
A2016009,2016-01-09,MOD11A2,LST_Day_1km,262.6600,272.0200,21529.8789,9.3600,265.8010,1.4319,1.1966,81,81,100.00
A2016017,2016-01-17,MOD11A2,LST_Day_1km,264.4000,266.2200,3448.5801,1.8200,265.2754,0.3324,0.5766,81,13,16.05
A2016025,2016-01-25,MOD11A2,LST_Day_1km,272.6000,276.4800,22276.6973,3.8800,275.0210,0.7659,0.8752,81,81,100.00
A2016033,2016-02-02,MOD11A2,LST_Day_1km,267.6000,274.3400,1893.6000,6.7400,270.5143,7.6398,2.7640,81,7,8.64
A2016041,2016-02-10,MOD11A2,LST_Day_1km,265.9600,266.9800,19439.4727,1.0200,266.2942,0.0397,0.1994,81,73,90.12
A2016049,2016-02-18,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2016057,2016-02-26,MOD11A2,LST_Day_1km,277.6600,288.0800,22440.3398,10.4200,284.0549,6.2225,2.4945,81,79,97.53
A2016065,2016-03-05,MOD11A2,LST_Day_1km,287.3200,293.5200,23470.1387,6.2000,289.7548,1.8097,1.3453,81,81,100.00
A2016073,2016-03-13,MOD11A2,LST_Day_1km,284.9400,288.5200,23310.1602,3.5800,287.7798,0.6674,0.8170,81,81,100.00
A2016081,2016-03-21,MOD11A2,LST_Day_1km,287.8400,291.0200,23379.7422,3.1800,288.6388,0.4545,0.6741,81,81,100.00
A2016089,2016-03-29,MOD11A2,LST_Day_1km,288.5400,291.6000,23541.5859,3.0600,290.6369,0.3773,0.6142,81,81,100.00
A2016097,2016-04-06,MOD11A2,LST_Day_1km,291.9000,294.6400,23730.2363,2.7400,292.9659,0.3729,0.6106,81,81,100.00
A2016105,2016-04-14,MOD11A2,LST_Day_1km,298.2000,302.8400,24350.6191,4.6400,300.6249,0.9016,0.9495,81,81,100.00
A2016113,2016-04-22,MOD11A2,LST_Day_1km,296.8800,300.8600,24249.4258,3.9800,299.3756,0.9337,0.9663,81,81,100.00
A2016121,2016-04-30,MOD11A2,LST_Day_1km,294.9200,301.6200,24251.7383,6.7000,299.4042,1.1900,1.0908,81,81,100.00
A2016129,2016-05-08,MOD11A2,LST_Day_1km,293.1800,301.9200,24068.1367,8.7400,297.1375,6.5120,2.5519,81,81,100.00
A2016137,2016-05-16,MOD11A2,LST_Day_1km,300.1200,306.5400,24586.0215,6.4200,303.5311,2.6475,1.6271,81,81,100.00
A2016145,2016-05-24,MOD11A2,LST_Day_1km,300.9200,304.0400,24498.2598,3.1200,302.4477,0.7052,0.8398,81,81,100.00
A2016153,2016-06-01,MOD11A2,LST_Day_1km,301.2200,307.3600,24655.0176,6.1400,304.3829,2.6526,1.6287,81,81,100.00
A2016161,2016-06-09,MOD11A2,LST_Day_1km,303.2800,308.3400,24747.0645,5.0600,305.5193,1.0355,1.0176,81,81,100.00
A2016169,2016-06-17,MOD11A2,LST_Day_1km,300.8800,304.5600,24515.7441,3.6800,302.6635,0.7569,0.8700,81,81,100.00
A2016177,2016-06-25,MOD11A2,LST_Day_1km,298.8200,300.9600,24281.2598,2.1400,299.7686,0.2598,0.5097,81,81,100.00
A2016185,2016-07-03,MOD11A2,LST_Day_1km,293.3600,299.3200,23995.9219,5.9600,296.2459,1.8404,1.3566,81,81,100.00
A2016193,2016-07-11,MOD11A2,LST_Day_1km,299.8600,304.0200,24430.3770,4.1600,301.6096,1.2195,1.1043,81,81,100.00
A2016201,2016-07-19,MOD11A2,LST_Day_1km,299.3600,303.2800,24425.2188,3.9200,301.5459,0.7956,0.8920,81,81,100.00
A2016209,2016-07-27,MOD11A2,LST_Day_1km,300.4200,302.3000,23808.4336,1.8800,301.3726,0.2393,0.4892,81,79,97.53
A2016217,2016-08-04,MOD11A2,LST_Day_1km,296.5600,299.8000,24186.6055,3.2400,298.6001,0.5591,0.7477,81,81,100.00
A2016225,2016-08-12,MOD11A2,LST_Day_1km,299.8000,301.3000,24341.3203,1.5000,300.5101,0.1129,0.3359,81,81,100.00
A2016233,2016-08-20,MOD11A2,LST_Day_1km,298.4400,299.4200,24211.0801,0.9800,298.9022,0.0596,0.2442,81,81,100.00
A2016241,2016-08-28,MOD11A2,LST_Day_1km,296.4200,299.8600,24124.7793,3.4400,297.8368,0.6055,0.7781,81,81,100.00
A2016249,2016-09-05,MOD11A2,LST_Day_1km,297.4200,299.5400,24180.1660,2.1200,298.5206,0.1919,0.4380,81,81,100.00
A2016257,2016-09-13,MOD11A2,LST_Day_1km,299.1600,300.7000,24291.1602,1.5400,299.8909,0.1066,0.3266,81,81,100.00
A2016265,2016-09-21,MOD11A2,LST_Day_1km,298.2200,299.9400,24249.2969,1.7200,299.3740,0.0958,0.3096,81,81,100.00
A2016273,2016-09-29,MOD11A2,LST_Day_1km,293.3800,296.5400,23896.6152,3.1600,295.0199,0.7182,0.8475,81,81,100.00
A2016281,2016-10-07,MOD11A2,LST_Day_1km,290.6600,293.4800,23649.8828,2.8200,291.9739,0.5991,0.7740,81,81,100.00
A2016289,2016-10-15,MOD11A2,LST_Day_1km,290.3400,297.1000,23822.1738,6.7600,294.1009,3.7489,1.9362,81,81,100.00
A2016297,2016-10-23,MOD11A2,LST_Day_1km,290.0600,293.3800,23608.0020,3.3200,291.4568,0.6199,0.7873,81,81,100.00
A2016305,2016-10-31,MOD11A2,LST_Day_1km,289.1400,293.8600,23622.3789,4.7200,291.6343,1.3463,1.1603,81,81,100.00
A2016313,2016-11-08,MOD11A2,LST_Day_1km,287.9800,290.0400,23401.8613,2.0600,288.9119,0.3133,0.5598,81,81,100.00
A2016321,2016-11-16,MOD11A2,LST_Day_1km,279.0200,281.2400,22670.7773,2.2200,279.8861,0.3060,0.5531,81,81,100.00
A2016329,2016-11-24,MOD11A2,LST_Day_1km,277.8800,283.5000,22743.7812,5.6200,280.7874,1.7433,1.3204,81,81,100.00
A2016337,2016-12-02,MOD11A2,LST_Day_1km,272.4400,277.5200,22210.0586,5.0800,274.1982,1.4572,1.2071,81,81,100.00
A2016345,2016-12-10,MOD11A2,LST_Day_1km,268.0200,270.7800,21792.8535,2.7600,269.0476,0.4258,0.6525,81,81,100.00
A2016353,2016-12-18,MOD11A2,LST_Day_1km,264.0000,271.7800,19437.3770,7.7800,266.2654,5.0921,2.2566,81,73,90.12
A2016361,2016-12-26,MOD11A2,LST_Day_1km,273.7000,275.1800,22247.2812,1.4800,274.6578,0.0987,0.3142,81,81,100.00
A2017001,2017-01-01,MOD11A2,LST_Day_1km,264.7600,266.6800,21530.3594,1.9200,265.8069,0.1941,0.4406,81,81,100.00
A2017009,2017-01-09,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2017017,2017-01-17,MOD11A2,LST_Day_1km,272.7400,278.4800,22488.7266,5.7400,277.6386,2.1403,1.4630,81,81,100.00
A2017025,2017-01-25,MOD11A2,LST_Day_1km,272.1800,279.0200,22270.1016,6.8400,274.9395,5.5451,2.3548,81,81,100.00
A2017033,2017-02-02,MOD11A2,LST_Day_1km,271.3800,277.3000,22219.6426,5.9200,274.3166,4.5941,2.1434,81,81,100.00
A2017041,2017-02-10,MOD11A2,LST_Day_1km,279.4000,282.1000,22751.6777,2.7000,280.8849,0.3531,0.5942,81,81,100.00
A2017049,2017-02-18,MOD11A2,LST_Day_1km,288.6000,292.0800,23524.4551,3.4800,290.4254,1.0315,1.0156,81,81,100.00
A2017057,2017-02-26,MOD11A2,LST_Day_1km,281.7200,284.8200,22977.4434,3.1000,283.6721,0.7280,0.8532,81,81,100.00
A2017065,2017-03-06,MOD11A2,LST_Day_1km,278.7800,287.0600,21053.4609,8.2800,284.5062,4.9427,2.2232,81,74,91.36
A2017073,2017-03-14,MOD11A2,LST_Day_1km,286.9200,291.2800,23489.6016,4.3600,289.9951,1.2945,1.1377,81,81,100.00
A2017081,2017-03-22,MOD11A2,LST_Day_1km,282.3200,287.6600,20532.0000,5.3400,285.1667,1.5891,1.2606,81,72,88.89
A2017089,2017-03-30,MOD11A2,LST_Day_1km,284.4000,287.4000,22033.5234,3.0000,286.1497,0.4420,0.6648,81,77,95.06
A2017097,2017-04-07,MOD11A2,LST_Day_1km,292.5200,300.1400,23904.6816,7.6200,295.1195,1.1256,1.0609,81,81,100.00
A2017105,2017-04-15,MOD11A2,LST_Day_1km,290.1600,298.8800,23959.8438,8.7200,295.8005,1.9013,1.3789,81,81,100.00
A2017113,2017-04-23,MOD11A2,LST_Day_1km,299.1800,309.2400,24647.8594,10.0600,304.2946,8.0490,2.8371,81,81,100.00
A2017121,2017-05-01,MOD11A2,LST_Day_1km,298.8000,301.5800,24299.5215,2.7800,299.9941,0.5264,0.7256,81,81,100.00
A2017129,2017-05-09,MOD11A2,LST_Day_1km,301.0000,304.6000,24530.5410,3.6000,302.8462,0.9116,0.9548,81,81,100.00
A2017137,2017-05-17,MOD11A2,LST_Day_1km,,,,,,,,81,0,0.00
A2017145,2017-05-25,MOD11A2,LST_Day_1km,299.6000,305.7000,24553.3613,6.1000,303.1279,1.8290,1.3524,81,81,100.00
A2017153,2017-06-02,MOD11A2,LST_Day_1km,304.4600,311.4400,24993.2246,6.9800,308.5583,3.4899,1.8681,81,81,100.00
A2017161,2017-06-10,MOD11A2,LST_Day_1km,304.4800,309.1400,24877.0391,4.6600,307.1239,1.0963,1.0470,81,81,100.00
A2017169,2017-06-18,MOD11A2,LST_Day_1km,300.7600,304.0400,24504.4785,3.2800,302.5244,0.4486,0.6698,81,81,100.00
A2017177,2017-06-26,MOD11A2,LST_Day_1km,301.4800,303.9400,24512.5000,2.4600,302.6234,0.2991,0.5469,81,81,100.00
A2017185,2017-07-04,MOD11A2,LST_Day_1km,301.7000,304.5600,24555.4844,2.8600,303.1541,0.4054,0.6367,81,81,100.00
A2017193,2017-07-12,MOD11A2,LST_Day_1km,302.3400,304.8200,24558.1230,2.4800,303.1867,0.2517,0.5017,81,81,100.00
A2017201,2017-07-20,MOD11A2,LST_Day_1km,300.9000,302.7200,24439.9180,1.8200,301.7274,0.1539,0.3924,81,81,100.00
A2017209,2017-07-28,MOD11A2,LST_Day_1km,299.6800,302.3200,24375.8652,2.6400,300.9366,0.4592,0.6776,81,81,100.00
A2017217,2017-08-05,MOD11A2,LST_Day_1km,299.0600,302.0400,24352.4023,2.9800,300.6469,0.4341,0.6589,81,81,100.00
A2017225,2017-08-13,MOD11A2,LST_Day_1km,298.6000,298.9000,1195.3000,0.3000,298.8250,0.0169,0.1299,81,4,4.94
